timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
43917554,0,32767,-2,32767,-327,-327,32767
43932344,0,32767,32767,32767,-315,-315,32767
43945919,0,32767,32767,32767,-284,-284,32767
43961324,0,32767,32767,32767,-290,-290,32767
43977199,0,32767,32767,32767,-312,-312,32767
43993091,0,32767,32767,32767,-317,-317,32767
44007562,0,32767,32767,32767,-304,-304,32767
44023374,0,32767,-3,32767,-303,-303,32767
44038707,0,32767,32767,32767,-312,-312,32767
44054815,0,32767,32767,32767,-315,-315,32767
44069781,0,32767,32767,32767,-310,-310,32767
44084833,0,32767,32767,32767,-300,-300,32767
44101306,0,32767,32767,32767,-316,-316,32767
44116682,0,32767,32767,32767,-318,-318,32767
44131397,0,32767,-2,32767,-300,-300,32767
44147156,0,32767,32767,32767,-305,-305,32767
44162601,0,32767,32767,32767,-313,-313,32767
44178086,0,32767,32767,32767,-309,-309,32767
44194197,0,32767,32767,32767,-315,-315,32767
44208482,0,32767,32767,32767,-304,-304,32767
44223929,0,32767,32767,32767,-298,-298,32767
44238490,0,32767,-2,32767,-300,-300,32767
44256343,0,32767,32767,32767,-324,-324,32767
44269772,0,32767,32767,32767,-313,-313,32767
44285044,0,32767,32767,32767,-287,-287,32767
44300066,0,32767,32767,32767,-303,-303,32767
44317341,0,32767,32767,32767,-323,-323,32767
44331520,0,32767,32767,32767,-315,-315,32767
44346334,0,32767,-3,32767,-290,-290,32767
44361996,0,32767,32767,32767,-304,-304,32767
44377952,0,32767,32767,32767,-316,-316,32767
44392463,0,32767,32767,32767,-305,-305,32767
44407823,0,32767,32767,32767,-299,-299,32767
44423437,0,32767,32767,32767,-310,-310,32767
44437474,0,32767,32767,32767,-296,-296,32767
44453325,0,32767,-3,32767,-299,-299,32767
44467999,0,32767,32767,32767,-305,-305,32767
44482978,0,32767,32767,32767,-296,-296,32767
44498542,0,32767,32767,32767,-306,-306,32767
44515087,0,32767,32767,32767,-321,-321,32767
44528748,0,32767,32767,32767,-302,-302,32767
44543418,0,32767,32767,32767,-284,-284,32767
44560533,0,32767,-2,32767,-318,-318,32767
44574116,0,32767,32767,32767,-307,-307,32767
44590305,0,32767,32767,32767,-298,-298,32767
44603965,0,32767,32767,32767,-298,-298,32767
44619843,0,32767,32767,32767,-295,-295,32767
44635379,0,32767,32767,32767,-314,-314,32767
44650596,0,32767,32767,32767,-307,-307,32767
44665767,0,32767,-2,32767,-304,-304,32767
44680546,0,32767,32767,32767,-300,-300,32767
44697306,0,32767,32767,32767,-316,-316,32767
44710525,0,32767,32767,32767,-300,-300,32767
44725709,0,32767,32767,32767,-284,-284,32767
44742240,0,32767,32767,32767,-317,-317,32767
44758328,0,32767,32767,32767,-326,-326,32767
44772303,0,32767,-2,32767,-301,-301,32767
44786390,0,32767,32767,32767,-280,-280,32767
44801853,0,32767,32767,32767,-295,-295,32767
44817417,0,32767,32767,32767,-311,-311,32767
44833003,0,32767,32767,32767,-312,-312,32767
44847459,0,32767,32767,32767,-300,-300,32767
44862442,0,32767,32767,32767,-294,-294,32767
44877455,0,32767,-2,32767,-300,-300,32767
44894305,0,32767,32767,32767,-319,-319,32767
44907434,0,32767,32767,32767,-300,-300,32767
44922341,0,32767,32767,32767,-280,-280,32767
44937395,0,32767,32767,32767,-299,-299,32767
44953461,0,32767,32767,32767,-311,-311,32767
44969446,0,32767,32767,32767,-321,-321,32767
44984070,0,32767,-2,32767,-306,-306,32767
45000306,0,32767,32767,32767,-309,-309,32767
45013998,0,32767,32767,32767,-299,-299,32767
45030507,0,32767,32767,32767,-302,-302,32767
45044581,0,32767,32767,32767,-306,-306,32767
45060838,0,32767,32767,32767,-303,-303,32767
45075860,0,32767,32767,32767,-313,-313,32767
45090793,0,32767,-2,32767,-299,-299,32767
45105946,0,32767,32767,32767,-301,-301,32767
45120417,0,32767,32767,32767,-297,-297,32767
45136718,0,32767,32767,32767,-308,-308,32767
45150554,0,32767,32767,32767,-301,-301,32767
45166094,0,32767,32767,32767,-293,-293,32767
45181526,0,32767,32767,32767,-310,-310,32767
45197272,0,32767,-2,32767,-312,-312,32767
45213383,0,32767,32767,32767,-318,-318,32767
45227318,0,32767,32767,32767,-301,-301,32767
45242858,0,32767,32767,32767,-295,-295,32767
45258964,0,32767,32767,32767,-316,-316,32767
45275723,0,32767,32767,32767,-329,-329,32767
45289447,0,32767,32767,32767,-305,-305,32767
45305475,0,32767,-2,32767,-297,-297,32767
45321309,0,32767,32767,32767,-319,-319,32767
45335393,0,32767,32767,32767,-299,-299,32767
45350850,0,32767,32767,32767,-295,-295,32767
45365443,0,32767,32767,32767,-301,-301,32767
45382308,0,32767,32767,32767,-315,-315,32767
45396346,0,32767,32767,32767,-309,-309,32767
45412031,0,32767,-2,32767,-297,-297,32767
45426652,0,32767,32767,32767,-303,-303,32767
45441327,0,32767,32767,32767,-293,-293,32767
45459300,0,32767,32767,32767,-327,-327,32767
45471654,0,32767,32767,32767,-303,-303,32767
45487062,0,32767,32767,32767,-277,-277,32767
