timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
38028671,1689688790994000,401540305,1162593687,1104,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.02,0.04,-0.049999997,0.0,0,nan,nan,3,1,15
38135688,1689688791101000,401540305,1162593678,965,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.01,0.01,-0.08,0.0,0,nan,nan,3,1,15
38240746,1689688791206000,401540307,1162593685,1123,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.01,0.01,0.02,0.0,0,nan,nan,3,1,15
38347528,1689688791312000,401540306,1162593679,931,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.01,0.02,-0.03,0.0,0,nan,nan,3,1,15
38452849,1689688791418000,401540304,1162593690,1105,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.01,0.0,-0.049999997,0.0,0,nan,nan,3,1,15
38560740,1689688791526000,401540302,1162593687,961,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.01,-0.04,0.01,0.0,0,nan,nan,3,1,15
38667542,1689688791633000,401540299,1162593688,935,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.01,-0.02,0.11,0.0,0,nan,nan,3,1,15
38773653,1689688791739000,401540297,1162593676,1146,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.01,-0.03,0.089999996,0.0,0,nan,nan,3,1,15
38881716,1689688791846000,401540304,1162593682,958,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.03,0.02,-0.06,0.0,0,nan,nan,3,1,15
38988395,1689688791953000,401540304,1162593687,1055,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.03,-0.01,-0.03,0.0,0,nan,nan,3,1,15
39092420,1689688792057000,401540307,1162593688,1001,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.02,-0.07,-0.03,0.0,0,nan,nan,3,1,15
39199296,1689688792164000,401540304,1162593684,995,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.02,-0.04,0.02,0.0,0,nan,nan,3,1,15
39305983,1689688792271000,401540306,1162593679,908,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.01,0.02,-0.099999994,0.0,0,nan,nan,3,1,15
39413739,1689688792379000,401540303,1162593677,1023,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.0,0.02,0.04,0.0,0,nan,nan,3,1,15
39519569,1689688792484000,401540297,1162593682,947,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,-0.01,-0.01,0.03,0.0,0,nan,nan,3,1,15
39625458,1689688792590000,401540304,1162593680,1124,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.02,-0.049999997,-0.03,0.0,0,nan,nan,3,1,15
39733141,1689688792698000,401540305,1162593678,1009,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.04,0.01,-0.07,0.0,0,nan,nan,3,1,15
39840786,1689688792806000,401540301,1162593677,1114,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.0,-0.02,0.07,0.0,0,nan,nan,3,1,15
39946999,1689688792912000,401540305,1162593688,1051,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.01,0.0,-0.14999999,0.0,0,nan,nan,3,1,15
40054961,1689688793020000,401540307,1162593680,1110,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.04,0.01,-0.08,0.0,0,nan,nan,3,1,15
40161122,1689688793126000,401540300,1162593684,1002,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.01,-0.02,-0.089999996,0.0,0,nan,nan,3,1,15
40266437,1689688793231000,401540303,1162593683,1052,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,0.01,0.11,0.0,0,nan,nan,3,1,15
40373419,1689688793338000,401540300,1162593684,917,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.02,0.01,-0.01,0.0,0,nan,nan,3,1,15
40480805,1689688793446000,401540306,1162593677,946,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.02,-0.02,-0.19999999,0.0,0,nan,nan,3,1,15
40586586,1689688793551000,401540308,1162593686,1062,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.06,0.04,-0.53,0.0,0,nan,nan,3,1,15
40693855,1689688793658000,401540307,1162593684,1231,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.049999997,0.0,-0.88,0.0,0,nan,nan,3,1,15
40797552,1689688793763000,401540305,1162593686,1157,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.08,0.06,0.049999997,-1.09,0.0,0,nan,nan,3,1,15
40903997,1689688793869000,401540305,1162593682,1404,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.049999997,0.049999997,-1.29,0.0,0,nan,nan,3,1,15
41010196,1689688793975000,401540300,1162593684,1581,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.02,0.03,-1.51,0.0,0,nan,nan,3,1,15
41118008,1689688794083000,401540303,1162593685,1648,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.08,-0.03,0.07,-1.78,0.0,0,nan,nan,3,1,15
41225624,1689688794191000,401540309,1162593683,1886,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.0,0.049999997,-2.09,0.0,0,nan,nan,3,1,15
41331438,1689688794297000,401540302,1162593687,2202,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.02,0.03,-2.28,0.0,0,nan,nan,3,1,15
41440077,1689688794405000,401540307,1162593687,2373,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.03,0.0,-2.49,0.0,0,nan,nan,3,1,15
41546335,1689688794512000,401540304,1162593692,2762,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.06,0.049999997,-0.03,-2.4099998,0.0,0,nan,nan,3,1,15
41652961,1689688794618000,401540305,1162593687,2890,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.03,-0.03,-2.4099998,0.0,0,nan,nan,3,1,15
41758502,1689688794723000,401540308,1162593686,3283,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.01,0.02,-2.36,0.0,0,nan,nan,3,1,15
41866025,1689688794831000,401540310,1162593687,3471,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.02,-0.01,-2.4299998,0.0,0,nan,nan,3,1,15
41971712,1689688794936000,401540301,1162593683,3691,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.0,-0.07,-2.53,0.0,0,nan,nan,3,1,15
42078206,1689688795043000,401540305,1162593680,3906,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.02,-0.06,-2.51,0.0,0,nan,nan,3,1,15
42185210,1689688795150000,401540309,1162593687,4293,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.08,-0.04,-0.07,-2.5,0.0,0,nan,nan,3,1,15
42291801,1689688795257000,401540301,1162593679,4457,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.01,-0.049999997,-2.53,0.0,0,nan,nan,3,1,15
42398104,1689688795363000,401540301,1162593676,4709,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,-0.01,-2.52,0.0,0,nan,nan,3,1,15
42505864,1689688795471000,401540302,1162593686,4980,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.06,0.02,-0.06,-2.6599998,0.0,0,nan,nan,3,1,15
42613067,1689688795579000,401540301,1162593675,5374,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.12,-0.04,-0.12,-2.6599998,0.0,0,nan,nan,3,1,15
42718106,1689688795683000,401540299,1162593676,5716,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.08,-0.01,-0.08,-2.7,0.0,0,nan,nan,3,1,15
42825659,1689688795790000,401540301,1162593684,5963,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.03,-0.07,-2.6299999,0.0,0,nan,nan,3,1,15
42933157,1689688795899000,401540308,1162593678,6127,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.08,0.02,-0.08,-2.6499999,0.0,0,nan,nan,3,1,15
43039834,1689688796005000,401540306,1162593675,6506,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.08,0.07,-0.049999997,-2.81,0.0,0,nan,nan,3,1,15
43147394,1689688796112000,401540299,1162593682,6679,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.01,-0.049999997,-2.75,0.0,0,nan,nan,3,1,15
43253392,1689688796218000,401540302,1162593672,6944,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.099999994,-0.049999997,-0.089999996,-2.69,0.0,0,nan,nan,3,1,15
43359224,1689688796324000,401540309,1162593678,7356,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.0,-0.02,-2.83,0.0,0,nan,nan,3,1,15
43466412,1689688796431000,401540308,1162593670,7726,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.08,-0.03,-0.07,-2.81,0.0,0,nan,nan,3,1,15
43573381,1689688796538000,401540303,1162593682,7833,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.06,0.02,-0.049999997,-2.8,0.0,0,nan,nan,3,1,15
43680557,1689688796645000,401540300,1162593675,8244,0,0.1,0.0,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.02,-0.049999997,-2.75,0.0,0,nan,nan,3,1,15
