timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
42771499,-0.0057263523,-0.0023913006,0.0,0.0,0.9999952,-0.00286317,-0.0011956452,-3.4233517e-06,0.0,0.0,-0.63715494,1,0,0,0,0,0
42886154,-0.005028322,-0.0014848938,0.0,0.0,0.99999654,-0.0025141572,-0.0007424444,-1.8666286e-06,0.0,0.0,-0.63685197,1,0,0,0,0,0
42978500,-0.0046512047,-0.0010037863,0.0,0.0,0.99999714,-0.0023255998,-0.0005018918,-1.1672026e-06,0.0,0.0,-0.6368049,1,0,0,0,0,0
43078298,-0.003880908,-0.0011321239,0.0,0.0,0.999998,-0.0019404525,-0.0005660609,-1.0984165e-06,0.0,0.0,-0.6364679,1,0,0,0,0,0
43189137,-0.0030278722,-0.0012127234,0.0,0.0,0.9999987,-0.001513935,-0.00060636096,-9.1799234e-07,0.0,0.0,-0.63669705,1,0,0,0,0,0
43282496,-0.0016711011,-0.0015050403,0.0,0.0,0.99999934,-0.0008355502,-0.0007525199,-6.287685e-07,0.0,0.0,-0.63729507,1,0,0,0,0,0
43381541,-0.0005636541,-0.0018580151,0.0,0.0,0.9999995,-0.00028182694,-0.00092900736,-2.618194e-07,0.0,0.0,-0.636755,1,0,0,0,0,0
43495198,0.00042436697,-0.0024242422,0.0,0.0,0.9999992,0.00021218332,-0.0012121209,2.5719203e-07,0.0,0.0,-0.63671005,1,0,0,0,0,0
43592222,0.0011034859,-0.0018373625,0.0,0.0,0.99999946,0.0005517428,-0.000918681,5.068759e-07,0.0,0.0,-0.63617206,1,0,0,0,0,0
43689104,0.0018568255,-0.0016186127,0.0,0.0,0.9999992,0.00092841237,-0.00080930593,7.513702e-07,0.0,0.0,-0.6371802,1,0,0,0,0,0
43785168,0.0023673887,-0.0015416563,0.0,0.0,0.999999,0.0011836938,-0.0007708276,9.1242464e-07,0.0,0.0,-0.63668257,1,0,0,0,0,0
43882517,0.0023528198,-0.0012467317,0.0,0.0,0.9999991,0.0011764095,-0.0006233654,7.333336e-07,0.0,0.0,-0.6365136,1,0,0,0,0,0
44008566,0.0023930601,0.00041442315,0.0,0.0,0.9999993,0.0011965298,0.00020721141,-2.4793482e-07,0.0,0.0,-0.63541895,1,0,0,0,0,0
44104059,0.002513426,0.00182064,0.0,0.0,0.9999988,0.0012567122,0.0009103192,-1.1440106e-06,0.0,0.0,-0.63610166,1,0,0,0,0,0
44210282,0.0023482686,0.0030798533,0.0,0.0,0.99999815,0.0011741327,0.001539925,-1.8080797e-06,0.0,0.0,-0.6360379,1,0,0,0,0,0
44308558,0.0019375422,0.003164448,0.0,0.0,0.9999983,0.0009687697,0.0015822225,-1.5328119e-06,0.0,0.0,-0.6359504,1,0,0,0,0,0
44404769,0.0019671412,0.003652779,0.0,0.0,0.99999785,0.0009835687,0.0018263875,-1.7963815e-06,0.0,0.0,-0.6358851,1,0,0,0,0,0
44503179,0.0013859194,0.0038837122,0.0,0.0,0.99999785,0.00069295836,0.0019418544,-1.345627e-06,0.0,0.0,-0.63566947,1,0,0,0,0,0
44599167,0.0010829733,0.0037886533,0.0,0.0,0.9999981,0.00054148573,0.0018943251,-1.025752e-06,0.0,0.0,-0.63655734,1,0,0,0,0,0
44715523,0.0019862957,0.0027907733,0.0,0.0,0.9999985,0.0009931467,0.0013953856,-1.3858246e-06,0.0,0.0,-0.636524,1,0,0,0,0,0
44819524,0.0020495092,0.0022573418,0.0,0.0,0.9999988,0.0010247537,0.0011286701,-1.1566102e-06,0.0,0.0,-0.6364847,1,0,0,0,0,0
44914547,0.0019838917,0.0009587885,0.0,0.0,0.9999994,0.0009919455,0.000479394,-4.75533e-07,0.0,0.0,-0.6373946,1,0,0,0,0,0
45006447,0.000995225,0.0002425124,0.0,0.0,0.9999999,0.00049761246,0.00012125618,-6.033859e-08,0.0,0.0,-0.6368106,1,0,0,0,0,0
45103289,0.001620893,-0.00077760505,0.0,0.0,0.9999996,0.00081044645,-0.0003888024,3.1510362e-07,0.0,0.0,-0.6361111,1,0,0,0,0,0
45223547,0.0019868896,-0.00044572479,0.0,0.0,0.9999995,0.0009934446,-0.00022286225,2.2140142e-07,0.0,0.0,-0.6353591,1,0,0,0,0,0
45299139,0.0022433742,-0.00077834865,0.0,0.0,0.9999993,0.0011216869,-0.0003891741,4.3653174e-07,0.0,0.0,-0.635589,1,0,0,0,0,0
45425306,0.0014649584,-0.0026272146,0.0,0.0,0.99999887,0.0007324786,-0.0013136066,9.621898e-07,0.0,0.0,-0.636969,1,0,0,0,0,0
45517523,0.0014776271,-0.0012797891,0.0,0.0,0.9999995,0.0007388133,-0.00063989434,4.7276265e-07,0.0,0.0,-0.63739157,1,0,0,0,0,0
45608494,0.0004244942,-0.0015180834,0.0,0.0,0.9999997,0.00021224706,-0.00075904164,1.611044e-07,0.0,0.0,-0.6366945,1,0,0,0,0,0
45730084,0.0011822807,-0.0014593558,0.0,0.0,0.9999995,0.0005911402,-0.00072967773,4.3134204e-07,0.0,0.0,-0.63593245,1,0,0,0,0,0
45820344,-0.00031154184,-0.0015055242,0.0,0.0,0.9999997,-0.00015577086,-0.000752762,-1.17258416e-07,0.0,0.0,-0.617175,1,0,0,0,0,0
45912162,-0.00094190583,-0.001103858,0.0,0.0,0.99999976,-0.00047095283,-0.0005519289,-2.5993253e-07,0.0,0.0,-0.56611216,1,0,0,0,0,0
46032021,-0.0014946053,-0.0023154807,0.0,0.0,0.99999905,-0.00074730214,-0.0011577398,-8.6518224e-07,0.0,0.0,-0.54110056,1,0,0,0,0,0
46125177,-0.0006614653,-0.0010559224,0.0,0.0,0.9999998,-0.0003307326,-0.0005279611,-1.7461399e-07,0.0,0.0,-0.54807335,1,0,0,0,0,0
46216118,-0.0023138355,-0.0014507467,0.0,0.0,0.99999905,-0.0011569172,-0.0007253728,-8.3919707e-07,0.0,0.0,-0.5613384,1,0,0,0,0,0
46336787,-0.0017683727,-0.0013605183,0.0,0.0,0.9999994,-0.00088418607,-0.0006802588,-6.0147573e-07,0.0,0.0,-0.5787908,1,0,0,0,0,0
46426400,-0.0016916655,-0.0013688237,0.0,0.0,0.9999994,-0.00084583246,-0.00068441156,-5.788978e-07,0.0,0.0,-0.5895614,1,0,0,0,0,0
46547462,-0.0025192744,-0.0012895083,0.0,0.0,0.999999,-0.0012596367,-0.0006447536,-8.1215603e-07,0.0,0.0,-0.59742063,1,0,0,0,0,0
46638417,-0.0030522232,-1.51260365e-05,0.0,0.0,0.9999988,-0.0015261112,-7.5630096e-06,-1.1542006e-08,0.0,0.0,-0.60433006,1,0,0,0,0,0
46732676,-0.0017141694,0.00041126792,0.0,0.0,0.99999964,-0.00085708447,0.00020563387,1.7624566e-07,0.0,0.0,-0.60927,1,0,0,0,0,0
46823586,-0.0010173118,0.0015537445,0.0,0.0,0.9999996,-0.0005086557,0.0007768721,3.9516058e-07,0.0,0.0,-0.61057436,1,0,0,0,0,0
46942784,-0.0011823605,0.00041836625,0.0,0.0,0.9999998,-0.00059118017,0.0002091831,1.2366493e-07,0.0,0.0,-0.61287916,1,0,0,0,0,0
47035236,-0.0016507544,-0.00017936454,0.0,0.0,0.9999997,-0.0008253771,-8.968224e-05,-7.402169e-08,0.0,0.0,-0.6136608,1,0,0,0,0,0
47155658,-0.0013939952,0.0007135972,0.0,0.0,0.9999997,-0.0006969975,0.00035679853,2.4868774e-07,0.0,0.0,-0.613088,1,0,0,0,0,0
47246907,-0.0019987426,0.0010882139,0.0,0.0,0.99999934,-0.0009993708,0.00054410665,5.437647e-07,0.0,0.0,-0.61399955,1,0,0,0,0,0
47337395,-0.0012678338,0.00024359571,0.0,0.0,0.9999998,-0.0006339169,0.000121797835,7.720972e-08,0.0,0.0,-0.61372244,1,0,0,0,0,0
47457746,-0.0011076295,-0.001177361,0.0,0.0,0.9999997,-0.00055381464,-0.00058868044,-3.2601992e-07,0.0,0.0,-0.61622083,1,0,0,0,0,0
47547202,-0.0011703785,-0.0009899691,0.0,0.0,0.9999997,-0.00058518926,-0.0004949845,-2.8965968e-07,0.0,0.0,-0.61491656,1,0,0,0,0,0
47639614,-0.0008811158,4.1211573e-05,0.0,0.0,0.9999999,-0.0004405579,2.0605783e-05,9.078041e-09,0.0,0.0,-0.61600584,1,0,0,0,0,0
47760496,-0.0016144252,-0.000109356835,0.0,0.0,0.9999997,-0.0008072126,-5.46784e-05,-4.4137106e-08,0.0,0.0,-0.61808735,1,0,0,0,0,0
47853772,-0.00048405913,-0.0016865066,0.0,0.0,0.9999996,-0.00024202949,-0.0008432532,-2.0409222e-07,0.0,0.0,-0.6173961,1,0,0,0,0,0
47944515,-0.0011953628,-0.00053119083,0.0,0.0,0.9999998,-0.00059768127,-0.0002655954,-1.5874143e-07,0.0,0.0,-0.6175746,1,0,0,0,0,0
48063778,-0.0008967341,-0.0018995012,0.0,0.0,0.99999946,-0.00044836683,-0.00094975036,-4.258368e-07,0.0,0.0,-0.61813956,1,0,0,0,0,0
48156903,-0.0007951804,-0.001619809,0.0,0.0,0.9999996,-0.00039759008,-0.00080990436,-3.2201004e-07,0.0,0.0,-0.62051874,1,0,0,0,0,0
48249725,0.00037006586,-0.0020972672,0.0,0.0,0.99999946,0.00018503284,-0.0010486332,1.940317e-07,0.0,0.0,-0.6214213,1,0,0,0,0,0
48372487,0.00013588423,-0.0010584348,0.0,0.0,0.9999999,6.79421e-05,-0.00052921736,3.5956145e-08,0.0,0.0,-0.6222329,1,0,0,0,0,0
48463136,-0.0012387726,-0.001287417,0.0,0.0,0.9999996,-0.00061938615,-0.00064370834,-3.987042e-07,0.0,0.0,-0.6214592,1,0,0,0,0,0
48553387,-0.00025429387,-0.0019024755,0.0,0.0,0.9999995,-0.00012714686,-0.00095123757,-1.2094694e-07,0.0,0.0,-0.6234395,1,0,0,0,0,0
48676212,-0.0027226645,-0.00048914994,0.0,0.0,0.99999905,-0.0013613318,-0.00024457474,-3.3294768e-07,0.0,0.0,-0.6250708,1,0,0,0,0,0
48765852,-0.0044975504,-0.0026807594,0.0,0.0,0.9999966,-0.0022487713,-0.001340376,-3.0142091e-06,0.0,0.0,-0.62374014,1,0,0,0,0,0
48857060,-0.0039060588,-0.0022779123,0.0,0.0,0.99999744,-0.0019530269,-0.0011389538,-2.224413e-06,0.0,0.0,-0.62342834,1,0,0,0,0,0
48979411,-0.0030913404,-0.003317925,0.0,0.0,0.99999744,-0.0015456675,-0.0016589598,-2.5642069e-06,0.0,0.0,-0.62538147,1,0,0,0,0,0
49073152,-0.0030656739,-0.0052727093,0.0,0.0,0.99999535,-0.0015328309,-0.0026363486,-4.041095e-06,0.0,0.0,-0.62626,1,0,0,0,0,0
49161188,-0.0034749699,-0.004965302,0.0,0.0,0.9999954,-0.0017374787,-0.0024826447,-4.313562e-06,0.0,0.0,-0.6284766,1,0,0,0,0,0
