timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
39754028,0.9776583,24.993435,101313.25,1.203769
39769113,0.9776583,24.993435,101313.25,1.203769
39787355,0.92216957,24.993435,101313.92,1.203777
39799696,0.9829429,24.993435,101313.19,1.2037683
39815606,1.1203434,24.993435,101311.555,1.2037488
39832303,1.1177012,24.993435,101311.57,1.2037491
39846369,0.93802345,24.993435,101313.75,1.2037749
39863324,0.8983887,24.993435,101314.21,1.2037804
39877110,0.96708894,24.993435,101313.39,1.2037706
39894342,0.9459504,24.993435,101313.65,1.2037737
39908114,1.1177012,24.993435,101311.586,1.2037492
39922347,1.0622125,24.993435,101312.24,1.203757
39938394,1.083351,24.993435,101311.99,1.2037541
39953375,1.067497,24.993435,101312.17,1.2037562
39968344,0.9406658,24.993435,101313.69,1.2037742
39983043,1.0886357,24.993435,101311.94,1.2037535
39998440,1.067497,24.993435,101312.18,1.2037563
40013873,0.959162,24.993435,101313.49,1.2037718
40027814,0.959162,24.993435,101313.49,1.2037718
40044131,1.0569278,24.993435,101312.32,1.203758
40059928,1.0569278,24.993435,101312.32,1.203758
40074500,1.0014391,24.993435,101312.98,1.2037657
40091307,1.1124165,24.993435,101311.65,1.20375
40106564,0.98558515,24.993435,101313.17,1.2037681
40120095,1.1256281,24.993435,101311.47,1.2037479
40135852,1.1044896,24.993435,101311.75,1.2037512
40150918,0.9353812,24.993435,101313.766,1.2037752
40167306,0.9036733,24.993435,101314.16,1.2037798
40180864,1.1097742,24.993435,101311.664,1.2037501
40196344,0.9036733,24.993435,101314.13,1.2037795
40211356,1.0199354,24.993435,101312.75,1.203763
40228354,0.90103096,24.993435,101314.19,1.2037802
40240913,0.94330806,24.993435,101313.68,1.2037741
40255759,0.95123506,24.993435,101313.586,1.203773
40272304,0.98030055,24.993435,101313.21,1.2037685
40287298,0.9036733,24.993435,101314.16,1.2037798
40302338,1.0754241,24.993435,101312.07,1.203755
40318332,0.9036733,24.993435,101314.14,1.2037796
40333393,1.0859933,24.993435,101311.96,1.2037537
40348145,1.0120083,24.993435,101312.83,1.203764
40361733,0.9168849,24.993435,101313.98,1.2037777
40377297,1.1229858,24.993435,101311.52,1.2037485
40392108,1.0648547,24.993435,101312.195,1.2037565
40407363,1.0199354,24.993435,101312.76,1.2037631
40424329,0.93009645,24.993435,101313.836,1.203776
40437650,1.1177012,24.993435,101311.56,1.203749
40452983,0.90895796,24.993435,101314.07,1.2037787
40470303,1.0305047,24.993435,101312.63,1.2037617
40483205,1.0305047,24.993435,101312.63,1.2037617
40499302,1.0305047,24.993435,101312.63,1.2037617
40513866,0.959162,24.993435,101313.46,1.2037715
40528873,1.0516431,24.993435,101312.37,1.2037585
40543895,1.0516431,24.993435,101312.37,1.2037585
40559477,1.083351,24.993435,101311.984,1.203754
40576317,0.9327388,24.993435,101313.78,1.2037753
40590318,0.9485928,24.993435,101313.59,1.2037731
40606938,0.98030055,24.993435,101313.21,1.2037685
40621449,1.083351,24.993435,101311.984,1.203754
40635502,0.9168849,24.993435,101313.98,1.2037777
40652299,1.1309128,24.993435,101311.43,1.2037474
40666839,0.93009645,24.993435,101313.83,1.2037759
40681907,1.1150589,24.993435,101311.6,1.2037494
40698323,0.9274542,24.993435,101313.84,1.2037761
40712604,1.0199354,24.993435,101312.76,1.2037631
40727359,1.0199354,24.993435,101312.74,1.203763
40743381,1.0754241,24.993435,101312.07,1.203755
40756861,1.0516431,24.993435,101312.375,1.2037586
40771880,0.96444666,24.993435,101313.41,1.2037709
40787743,1.033147,24.993435,101312.6,1.2037613
40801812,1.1018473,24.993435,101311.76,1.2037513
40817653,0.94330806,24.993435,101313.66,1.2037739
40832383,0.97237355,24.993435,101313.32,1.2037698
40848004,1.0120083,24.993435,101312.84,1.2037642
40863540,1.1124165,24.993435,101311.625,1.2037497
40879745,1.1124165,24.993435,101311.625,1.2037497
40896303,1.1018473,24.993435,101311.76,1.2037513
40911297,0.96708894,24.993435,101313.375,1.2037705
40926297,0.92216957,24.993435,101313.92,1.203777
40941342,0.98558515,24.993435,101313.16,1.2037679
40957297,1.0859933,24.993435,101311.95,1.2037536
40972297,0.96708894,24.993435,101313.375,1.2037705
40987472,0.99351215,24.993435,101313.055,1.2037667
41003324,1.1229858,24.993435,101311.52,1.2037485
41017220,1.0939202,24.993435,101311.85,1.2037524
41034303,0.8983887,24.993435,101314.21,1.2037804
41049345,0.96180433,24.993435,101313.44,1.2037712
41065300,0.96180433,24.993435,101313.44,1.2037712
41079260,0.98822755,24.993435,101313.125,1.2037675
41094702,0.89574635,24.993435,101314.24,1.2037808
41111298,1.0384315,24.993435,101312.54,1.2037605
41125639,1.1282704,24.993435,101311.45,1.2037476
41141606,0.92481184,24.993435,101313.9,1.2037767
41155142,1.0859933,24.993435,101311.95,1.2037536
41170516,0.98030055,24.993435,101313.24,1.203769
41186339,1.0648547,24.993435,101312.21,1.2037567
41202403,0.93009645,24.993435,101313.83,1.2037759
41217025,0.98558515,24.993435,101313.17,1.2037681
41233014,1.0410739,24.993435,101312.48,1.2037598
41248413,1.1256281,24.993435,101311.48,1.203748
41264308,1.1309128,24.993435,101311.42,1.2037473
41280674,1.1309128,24.993435,101311.42,1.2037473
41296297,1.0014391,24.993435,101312.984,1.2037659
41310312,1.0146507,24.993435,101312.805,1.2037637
41326777,0.92216957,24.993435,101313.93,1.2037771
41340619,1.0622125,24.993435,101312.234,1.2037569
41357303,0.92481184,24.993435,101313.91,1.2037768
41371658,1.0516431,24.993435,101312.38,1.2037587
41387412,1.1124165,24.993435,101311.625,1.2037497
41403077,1.0120083,24.993435,101312.84,1.2037642
41417752,1.033147,24.993435,101312.59,1.2037612
41432366,1.091278,24.993435,101311.89,1.2037529
41448623,0.9406658,24.993435,101313.71,1.2037745
41464198,1.0225776,24.993435,101312.7,1.2037625
41480833,1.0225776,24.993435,101312.7,1.2037625
41496305,0.98558515,24.993435,101313.17,1.2037681
41510656,1.0542855,24.993435,101312.34,1.2037582
41525541,1.1071318,24.993435,101311.7,1.2037506
41540771,1.0859933,24.993435,101311.945,1.2037535
41555758,1.0754241,24.993435,101312.07,1.203755
41571766,0.93009645,24.993435,101313.83,1.2037759
41586482,1.0014391,24.993435,101312.97,1.2037656
41602866,1.0357893,24.993435,101312.555,1.2037607
41618330,1.0278623,24.993435,101312.66,1.2037619
41632642,0.93009645,24.993435,101313.83,1.2037759
41647813,0.9406658,24.993435,101313.695,1.2037743
41664298,1.0067238,24.993435,101312.91,1.2037649
41680297,1.0067238,24.993435,101312.91,1.2037649
41694630,0.93009645,24.993435,101313.83,1.2037759
41711304,0.9961545,24.993435,101313.05,1.2037666
41726307,0.97501594,24.993435,101313.28,1.2037693
41740386,0.9036733,24.993435,101314.13,1.2037795
41756340,1.0225776,24.993435,101312.71,1.2037627
41770188,1.1124165,24.993435,101311.63,1.2037498
41786170,1.0384315,24.993435,101312.53,1.2037605
41802341,1.1018473,24.993435,101311.766,1.2037513
41816432,1.0886357,24.993435,101311.92,1.2037532
41831293,1.1071318,24.993435,101311.7,1.2037506
41846634,1.0225776,24.993435,101312.7,1.2037625
41861543,0.90103096,24.993435,101314.19,1.2037802
41877233,0.90631557,24.993435,101314.1,1.2037791
41892475,1.0754241,24.993435,101312.09,1.2037553
41908494,1.1282704,24.993435,101311.445,1.2037475
41924303,1.0120083,24.993435,101312.83,1.203764
41939298,0.96444666,24.993435,101313.414,1.203771
41952748,0.9195272,24.993435,101313.96,1.2037774
41967928,0.96180433,24.993435,101313.445,1.2037714
41983523,0.9776583,24.993435,101313.266,1.2037692
41999393,0.9036733,24.993435,101314.15,1.2037797
42012361,0.91424257,24.993435,101314.01,1.203778
42028469,1.1150589,24.993435,101311.62,1.2037497
42044341,0.9353812,24.993435,101313.766,1.2037752
42058657,1.067497,24.993435,101312.17,1.2037562
42075306,1.067497,24.993435,101312.17,1.2037562
42089209,1.0622125,24.993435,101312.24,1.203757
42105316,0.93802345,24.993435,101313.74,1.2037748
42120685,0.92481184,24.993435,101313.88,1.2037765
42135011,1.0410739,24.993435,101312.484,1.2037599
42149544,1.1044896,24.993435,101311.73,1.2037508
42166127,0.93009645,24.993435,101313.81,1.2037756
42180341,1.0357893,24.993435,101312.55,1.2037606
42196297,1.0067238,24.993435,101312.91,1.2037649
42210493,1.083351,24.993435,101311.99,1.2037541
42227303,1.0199354,24.993435,101312.76,1.2037631
42242341,0.92481184,24.993435,101313.88,1.2037765
42257306,0.99879676,24.993435,101312.99,1.203766
42270757,1.0146507,24.993435,101312.82,1.2037638
42287298,1.1124165,24.993435,101311.625,1.2037497
42301270,0.9776583,24.993435,101313.25,1.203769
42316401,1.083351,24.993435,101311.99,1.2037541
42333333,1.0120083,24.993435,101312.83,1.203764
42347082,1.1229858,24.993435,101311.52,1.2037485
42363376,1.0886357,24.993435,101311.914,1.2037531
42376455,1.0992049,24.993435,101311.79,1.2037517
42391586,1.1229858,24.993435,101311.51,1.2037483
42408637,0.9406658,24.993435,101313.69,1.2037742
42422653,0.90631557,24.993435,101314.125,1.2037795
