timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
51199070,0.27554995,-0.032694336,0.46912715
51214284,0.2759914,-0.030293943,0.47429332
51229633,0.27433842,-0.03739516,0.46758446
51245331,0.2779823,-0.033665746,0.468041
51261545,0.2779823,-0.033665746,0.468041
51275488,0.27796158,-0.030750947,0.47046784
51290919,0.27383733,-0.033221655,0.47458017
51305769,0.27523962,-0.034357477,0.46885136
51323346,0.2782178,-0.036767844,0.47051546
51337177,0.2782178,-0.036767844,0.47051546
51352383,0.27492854,-0.03238582,0.4739706
51368475,0.27492854,-0.03238582,0.4739706
51383057,0.2777338,-0.03239212,0.46744707
51399050,0.2783936,-0.031357676,0.46943378
51414148,0.2806679,-0.034984633,0.47097573
51430302,0.2806679,-0.034984633,0.47097573
51444597,0.27962124,-0.03438703,0.4696494
51461752,0.27348667,-0.031833753,0.47432128
51474683,0.2748012,-0.032825775,0.47239956
51491303,0.27661595,-0.031154297,0.46850318
51505421,0.27661595,-0.031154297,0.46850318
51522215,0.28118992,-0.030459836,0.47263265
51536149,0.27749917,-0.03488733,0.46889693
51553331,0.27598035,-0.036273576,0.46842176
51566266,0.27598035,-0.036273576,0.46842176
51582056,0.27496356,-0.03296803,0.46906793
51596420,0.2787614,-0.029821623,0.46896234
51611749,0.2753842,-0.036254622,0.4730162
51627516,0.2738533,-0.034544557,0.47286227
51642614,0.2738533,-0.034544557,0.47286227
51658922,0.27387032,-0.03541648,0.47245744
51673850,0.27387032,-0.03541648,0.47245744
51689773,0.27932477,-0.03438903,0.47070703
51704475,0.2791681,-0.0354621,0.46934497
51721743,0.2791681,-0.0354621,0.46934497
51735925,0.27710068,-0.034905694,0.47131756
51749496,0.27770564,-0.029912097,0.4686196
51765063,0.27770564,-0.029912097,0.4686196
51780046,0.2803392,-0.036151703,0.47229618
51795599,0.27355,-0.031639643,0.47443232
51812343,0.27886453,-0.037505496,0.46910557
51825762,0.27886453,-0.037505496,0.46910557
51841116,0.2763908,-0.031247223,0.47459668
51856613,0.2763908,-0.031247223,0.47459668
51871464,0.27754638,-0.03663831,0.46905023
51886866,0.2733768,-0.0350022,0.4689154
51901359,0.27704358,-0.036177482,0.46760035
51916922,0.27704358,-0.036177482,0.46760035
51931844,0.27904478,-0.034972295,0.47327083
51947106,0.27888167,-0.030489322,0.47067502
51961751,0.27675837,-0.034468114,0.47448832
51978960,0.27877915,-0.031247009,0.46986273
51991711,0.27681497,-0.03027081,0.4753734
52009655,0.27681497,-0.03027081,0.4753734
52023083,0.2740428,-0.036074538,0.47308552
52037324,0.27973154,-0.036129497,0.47321877
52052843,0.27973154,-0.036129497,0.47321877
52071301,0.28102815,-0.034957748,0.47178504
52085306,0.27482897,-0.031019738,0.4733044
52099352,0.27482897,-0.031019738,0.4733044
52115310,0.2791518,-0.03571288,0.47473723
52129434,0.2791518,-0.03571288,0.47473723
52146305,0.28024575,-0.032469954,0.47447366
52161374,0.27366367,-0.034940973,0.4699519
52175216,0.2775175,-0.032878757,0.47162047
52190081,0.28032443,-0.032907017,0.47297636
52205086,0.28032443,-0.032907017,0.47297636
52222187,0.2790002,-0.0341497,0.4704004
52236302,0.28005102,-0.03497514,0.47114587
52252164,0.27909866,-0.033644352,0.46911556
52265968,0.2782587,-0.030468695,0.4680098
52280982,0.27448985,-0.036287487,0.47161973
52296080,0.2731924,-0.030221913,0.47296908
52311120,0.2766794,-0.035801504,0.47153527
52326101,0.27457547,-0.034801364,0.47409853
52341577,0.27404448,-0.029820368,0.47005877
52356713,0.28016096,-0.035960108,0.4710389
52372349,0.28016096,-0.035960108,0.4710389
52387601,0.27462843,-0.03323669,0.474312
52402493,0.27462843,-0.03323669,0.474312
52418416,0.27839512,-0.030915635,0.47145718
52432846,0.27950576,-0.037153047,0.47021276
